PassengerId,Survived,Pclass,Sex,Age2,FamilySize,Cabin,Embarked
100,0,2,male,34.0,2,U,S
101,0,3,female,28.0,1,U,S
102,0,3,male,32.0,1,U,S
103,0,1,male,21.0,2,D,S
104,0,3,male,33.0,1,U,S
105,0,3,male,37.0,3,U,S
106,0,3,male,28.0,1,U,S
107,1,3,female,21.0,1,U,S
108,1,3,male,32.0,1,U,S
109,0,3,male,38.0,1,U,S
110,1,3,female,22.0,2,U,Q
111,0,1,male,47.0,1,C,S
112,0,3,female,14.0,2,U,C
113,0,3,male,22.0,1,U,S
114,0,3,female,20.0,2,U,S
115,0,3,female,17.0,1,U,C
116,0,3,male,21.0,1,U,S
117,0,3,male,70.0,1,U,Q
118,0,2,male,29.0,2,U,S
119,0,1,male,24.0,2,B,C
120,0,3,female,2.0,7,U,S
121,0,2,male,21.0,3,U,S
122,0,3,male,32.0,1,U,S
123,0,2,male,32.0,2,U,C
124,1,2,female,32.0,1,E,S
125,0,1,male,54.0,2,D,S
126,1,3,male,12.0,2,U,C
127,0,3,male,32.0,1,U,Q
128,1,3,male,24.0,1,U,S
129,1,3,female,22.0,3,F,C
130,0,3,male,45.0,1,U,S
131,0,3,male,33.0,1,U,C
132,0,3,male,20.0,1,U,S
133,0,3,female,47.0,2,U,S
134,1,2,female,29.0,2,U,S
135,0,2,male,25.0,1,U,S
136,0,2,male,23.0,1,U,C
137,1,1,female,19.0,3,D,S
138,0,1,male,37.0,2,C,S
139,0,3,male,16.0,1,U,S
140,0,1,male,24.0,1,B,C
141,0,3,female,36.0,3,U,C
142,1,3,female,22.0,1,U,S
143,1,3,female,24.0,2,U,S
144,0,3,male,19.0,1,U,Q
145,0,2,male,18.0,1,U,S
146,0,2,male,19.0,3,U,S
147,1,3,male,27.0,1,U,S
148,0,3,female,9.0,5,U,S
149,0,2,male,36.0,3,F,S
150,0,2,male,42.0,1,U,S
151,0,2,male,51.0,1,U,S
152,1,1,female,22.0,2,C,S
153,0,3,male,56.0,1,U,S
154,0,3,male,40.0,3,U,S
155,0,3,male,32.0,1,U,S
156,0,1,male,51.0,2,U,C
157,1,3,female,16.0,1,U,Q
158,0,3,male,30.0,1,U,S
159,0,3,male,32.0,1,U,S
160,0,3,male,5.0,11,U,S
161,0,3,male,44.0,2,U,S
162,1,2,female,40.0,1,U,S
163,0,3,male,26.0,1,U,S
164,0,3,male,17.0,1,U,S
165,0,3,male,1.0,6,U,S
166,1,3,male,9.0,3,U,S
167,1,1,female,36.0,2,E,S
168,0,3,female,45.0,6,U,S
169,0,1,male,32.0,1,U,S
170,0,3,male,28.0,1,U,S
171,0,1,male,61.0,1,B,S
172,0,3,male,4.0,6,U,Q
173,1,3,female,1.0,3,U,S
174,0,3,male,21.0,1,U,S
175,0,1,male,56.0,1,A,C
176,0,3,male,18.0,3,U,S
177,0,3,male,5.0,5,U,S
178,0,1,female,50.0,1,C,C
179,0,2,male,30.0,1,U,S
180,0,3,male,36.0,1,U,S
181,0,3,female,22.0,11,U,S
182,0,2,male,32.0,1,U,C
183,0,3,male,9.0,7,U,S
184,1,2,male,1.0,4,F,S
185,1,3,female,4.0,3,U,S
186,0,1,male,32.0,1,A,S
187,1,3,female,36.0,2,U,Q
188,1,1,male,45.0,1,U,S
189,0,3,male,40.0,3,U,Q
190,0,3,male,36.0,1,U,S
191,1,2,female,32.0,1,U,S
192,0,2,male,19.0,1,U,S
193,1,3,female,19.0,2,U,S
194,1,2,male,3.0,3,F,S
195,1,1,female,44.0,1,B,C
196,1,1,female,58.0,1,B,C
197,0,3,male,32.0,1,U,Q
198,0,3,male,42.0,2,U,S
199,1,3,female,22.0,1,U,Q
200,0,2,female,24.0,1,U,S
201,0,3,male,28.0,1,U,S
202,0,3,male,32.0,11,U,S
203,0,3,male,34.0,1,U,S
204,0,3,male,46.0,1,U,C
205,1,3,male,18.0,1,U,S
206,0,3,female,2.0,2,G,S
207,0,3,male,32.0,2,U,S
208,1,3,male,26.0,1,U,C
209,1,3,female,16.0,1,U,Q
210,1,1,male,40.0,1,A,C
211,0,3,male,24.0,1,U,S
212,1,2,female,35.0,1,U,S
213,0,3,male,22.0,1,U,S
214,0,2,male,30.0,1,U,S
215,0,3,male,32.0,2,U,Q
216,1,1,female,31.0,2,D,C
217,1,3,female,27.0,1,U,S
218,0,2,male,42.0,2,U,S
219,1,1,female,32.0,1,D,C
220,0,2,male,30.0,1,U,S
221,1,3,male,16.0,1,U,S
222,0,2,male,27.0,1,U,S
223,0,3,male,51.0,1,U,S
224,0,3,male,32.0,1,U,S
225,1,1,male,38.0,2,C,S
226,0,3,male,22.0,1,U,S
227,1,2,male,19.0,1,U,S
228,0,3,male,20.0,1,U,S
229,0,2,male,18.0,1,U,S
230,0,3,female,22.0,5,U,S
231,1,1,female,35.0,2,C,S
232,0,3,male,29.0,1,U,S
233,0,2,male,59.0,1,U,S
234,1,3,female,5.0,7,U,S
235,0,2,male,24.0,1,U,S
236,0,3,female,22.0,1,U,S
237,0,2,male,44.0,2,U,S
238,1,2,female,8.0,3,U,S
239,0,2,male,19.0,1,U,S
240,0,2,male,33.0,1,U,S
241,0,3,female,22.0,2,U,C
242,1,3,female,22.0,2,U,Q
243,0,2,male,29.0,1,U,S
244,0,3,male,22.0,1,U,S
245,0,3,male,30.0,1,U,C
246,0,1,male,44.0,3,C,Q
247,0,3,female,25.0,1,U,S
248,1,2,female,24.0,3,U,S
249,1,1,male,37.0,3,D,S
250,0,2,male,54.0,2,U,S
251,0,3,male,32.0,1,U,S
252,0,3,female,29.0,3,G,S
253,0,1,male,62.0,1,C,S
254,0,3,male,30.0,2,U,S
255,0,3,female,41.0,3,U,S
256,1,3,female,29.0,3,U,C
257,1,1,female,36.0,1,U,C
258,1,1,female,30.0,1,B,S
259,1,1,female,35.0,1,U,C
260,1,2,female,50.0,2,U,S
261,0,3,male,32.0,1,U,Q
262,1,3,male,3.0,7,U,S
263,0,1,male,52.0,3,E,S
264,0,1,male,40.0,1,B,S
265,0,3,female,22.0,1,U,Q
266,0,2,male,36.0,1,U,S
267,0,3,male,16.0,6,U,S
268,1,3,male,25.0,2,U,S
269,1,1,female,58.0,2,C,S
270,1,1,female,35.0,1,C,S
271,0,1,male,32.0,1,U,S
272,1,3,male,25.0,1,U,S
273,1,2,female,41.0,2,U,S
274,0,1,male,37.0,2,C,C
275,1,3,female,22.0,1,U,Q
276,1,1,female,63.0,2,D,S
277,0,3,female,45.0,1,U,S
278,0,2,male,32.0,1,U,S
279,0,3,male,7.0,6,U,Q
280,1,3,female,35.0,3,U,S
281,0,3,male,65.0,1,U,Q
282,0,3,male,28.0,1,U,S
283,0,3,male,16.0,1,U,S
284,1,3,male,19.0,1,U,S
285,0,1,male,32.0,1,A,S
286,0,3,male,33.0,1,U,C
287,1,3,male,30.0,1,U,S
288,0,3,male,22.0,1,U,S
289,1,2,male,42.0,1,U,S
290,1,3,female,22.0,1,U,Q
291,1,1,female,26.0,1,U,S
292,1,1,female,19.0,2,B,C
293,0,2,male,36.0,1,D,C
294,0,3,female,24.0,1,U,S
295,0,3,male,24.0,1,U,S
296,0,1,male,32.0,1,U,C
297,0,3,male,24.0,1,U,C
298,0,1,female,2.0,4,C,S
299,1,1,male,32.0,1,C,S
300,1,1,female,50.0,2,B,C
301,1,3,female,22.0,1,U,Q
302,1,3,male,32.0,3,U,Q
303,0,3,male,19.0,1,U,S
304,1,2,female,22.0,1,E,Q
305,0,3,male,32.0,1,U,S
306,1,1,male,1.0,4,C,S
307,1,1,female,22.0,1,U,C
308,1,1,female,17.0,2,C,C
309,0,2,male,30.0,2,U,C
310,1,1,female,30.0,1,E,C
311,1,1,female,24.0,1,C,C
312,1,1,female,18.0,5,B,C
313,0,2,female,26.0,3,U,S
314,0,3,male,28.0,1,U,S
315,0,2,male,43.0,3,U,S
316,1,3,female,26.0,1,U,S
317,1,2,female,24.0,2,U,S
318,0,2,male,54.0,1,U,S
319,1,1,female,31.0,3,C,S
320,1,1,female,40.0,3,E,C
321,0,3,male,22.0,1,U,S
322,0,3,male,27.0,1,U,S
323,1,2,female,30.0,1,U,Q
324,1,2,female,22.0,3,U,S
325,0,3,male,32.0,11,U,S
326,1,1,female,36.0,1,C,C
327,0,3,male,61.0,1,U,S
328,1,2,female,36.0,1,D,S
329,1,3,female,31.0,3,U,S
330,1,1,female,16.0,2,B,C
331,1,3,female,22.0,3,U,Q
332,0,1,male,46.0,1,C,S
333,0,1,male,38.0,2,C,S
334,0,3,male,16.0,3,U,S
335,1,1,female,36.0,2,U,S
336,0,3,male,32.0,1,U,S
337,0,1,male,29.0,2,C,S
338,1,1,female,41.0,1,E,C
339,1,3,male,45.0,1,U,S
340,0,1,male,45.0,1,T,S
341,1,2,male,2.0,3,F,S
342,1,1,female,24.0,6,C,S
343,0,2,male,28.0,1,U,S
344,0,2,male,25.0,1,U,S
345,0,2,male,36.0,1,U,S
346,1,2,female,24.0,1,F,S
347,1,2,female,40.0,1,U,S
348,1,3,female,36.0,2,U,S
349,1,3,male,3.0,3,U,S
350,0,3,male,42.0,1,U,S
351,0,3,male,23.0,1,U,S
352,0,1,male,32.0,1,C,S
353,0,3,male,15.0,3,U,C
354,0,3,male,25.0,2,U,S
355,0,3,male,32.0,1,U,C
356,0,3,male,28.0,1,U,S
357,1,1,female,22.0,2,E,S
358,0,2,female,38.0,1,U,S
359,1,3,female,22.0,1,U,Q
360,1,3,female,22.0,1,U,Q
361,0,3,male,40.0,6,U,S
362,0,2,male,29.0,2,U,C
363,0,3,female,45.0,2,U,C
364,0,3,male,35.0,1,U,S
365,0,3,male,32.0,2,U,Q
366,0,3,male,30.0,1,U,S
367,1,1,female,60.0,2,D,C
368,1,3,female,36.0,1,U,C
369,1,3,female,22.0,1,U,Q
370,1,1,female,24.0,1,B,C
371,1,1,male,25.0,2,E,C
372,0,3,male,18.0,2,U,S
373,0,3,male,19.0,1,U,S
374,0,1,male,22.0,1,U,C
375,0,3,female,3.0,5,U,S
376,1,1,female,36.0,2,U,C
377,1,3,female,22.0,1,U,S
378,0,1,male,27.0,3,C,C
379,0,3,male,20.0,1,U,C
380,0,3,male,19.0,1,U,S
381,1,1,female,42.0,1,U,C
382,1,3,female,1.0,3,U,C
383,0,3,male,32.0,1,U,S
384,1,1,female,35.0,2,U,S
385,0,3,male,32.0,1,U,S
386,0,2,male,18.0,1,U,S
387,0,3,male,1.0,8,U,S
388,1,2,female,36.0,1,U,S
389,0,3,male,32.0,1,U,Q
390,1,2,female,17.0,1,U,C
391,1,1,male,36.0,4,B,S
392,1,3,male,21.0,1,U,S
393,0,3,male,28.0,3,U,S
394,1,1,female,23.0,2,D,C
395,1,3,female,24.0,3,G,S
396,0,3,male,22.0,1,U,S
397,0,3,female,31.0,1,U,S
398,0,2,male,46.0,1,U,S
399,0,2,male,23.0,1,U,S
400,1,2,female,28.0,1,U,S
401,1,3,male,39.0,1,U,S
402,0,3,male,26.0,1,U,S
403,0,3,female,21.0,2,U,S
404,0,3,male,28.0,2,U,S
405,0,3,female,20.0,1,U,S
406,0,2,male,34.0,2,U,S
407,0,3,male,51.0,1,U,S
408,1,2,male,3.0,3,U,S
409,0,3,male,21.0,1,U,S
410,0,3,female,22.0,5,U,S
411,0,3,male,32.0,1,U,S
412,0,3,male,32.0,1,U,Q
413,1,1,female,33.0,2,C,Q
414,0,2,male,32.0,1,U,S
415,1,3,male,44.0,1,U,S
416,0,3,female,36.0,1,U,S
417,1,2,female,34.0,3,U,S
418,1,2,female,18.0,3,U,S
419,0,2,male,30.0,1,U,S
420,0,3,female,10.0,3,U,S
421,0,3,male,32.0,1,U,C
422,0,3,male,21.0,1,U,Q
423,0,3,male,29.0,1,U,S
424,0,3,female,28.0,3,U,S
425,0,3,male,18.0,3,U,S
426,0,3,male,32.0,1,U,S
427,1,2,female,28.0,2,U,S
428,1,2,female,19.0,1,U,S
429,0,3,male,32.0,1,U,Q
430,1,3,male,32.0,1,E,S
431,1,1,male,28.0,1,C,S
432,1,3,female,36.0,2,U,S
433,1,2,female,42.0,2,U,S
434,0,3,male,17.0,1,U,S
435,0,1,male,50.0,2,E,S
436,1,1,female,14.0,4,B,S
437,0,3,female,21.0,5,U,S
438,1,2,female,24.0,6,U,S
439,0,1,male,64.0,6,C,S
440,0,2,male,31.0,1,U,S
441,1,2,female,45.0,3,U,S
442,0,3,male,20.0,1,U,S
443,0,3,male,25.0,2,U,S
444,1,2,female,28.0,1,U,S
445,1,3,male,32.0,1,U,S
446,1,1,male,4.0,3,A,S
447,1,2,female,13.0,2,U,S
448,1,1,male,34.0,1,U,S
449,1,3,female,5.0,4,U,C
450,1,1,male,52.0,1,C,S
451,0,2,male,36.0,4,U,S
452,0,3,male,32.0,2,U,S
453,0,1,male,30.0,1,C,C
454,1,1,male,49.0,2,C,C
455,0,3,male,32.0,1,U,S
456,1,3,male,29.0,1,U,C
457,0,1,male,65.0,1,E,S
458,1,1,female,36.0,2,D,S
459,1,2,female,50.0,1,U,S
460,0,3,male,32.0,1,U,Q
461,1,1,male,48.0,1,E,S
462,0,3,male,34.0,1,U,S
463,0,1,male,47.0,1,E,S
464,0,2,male,48.0,1,U,S
465,0,3,male,32.0,1,U,S
466,0,3,male,38.0,1,U,S
467,0,2,male,32.0,1,U,S
468,0,1,male,56.0,1,U,S
469,0,3,male,32.0,1,U,Q
470,1,3,female,1.0,4,U,C
471,0,3,male,32.0,1,U,S
472,0,3,male,38.0,1,U,S
473,1,2,female,33.0,4,U,S
474,1,2,female,23.0,1,D,C
475,0,3,female,22.0,1,U,S
476,0,1,male,32.0,1,A,S
477,0,2,male,34.0,2,U,S
478,0,3,male,29.0,2,U,S
479,0,3,male,22.0,1,U,S
480,1,3,female,2.0,2,U,S
481,0,3,male,9.0,8,U,S
482,0,2,male,32.0,1,U,S
483,0,3,male,50.0,1,U,S
484,1,3,female,63.0,1,U,S
485,1,1,male,25.0,2,B,C
486,0,3,female,22.0,5,U,S
487,1,1,female,35.0,2,C,S
488,0,1,male,58.0,1,B,C
489,0,3,male,30.0,1,U,S
490,1,3,male,9.0,3,U,S
491,0,3,male,32.0,2,U,S
492,0,3,male,21.0,1,U,S
493,0,1,male,55.0,1,C,S
494,0,1,male,71.0,1,U,C
495,0,3,male,21.0,1,U,S
496,0,3,male,32.0,1,U,C
497,1,1,female,54.0,2,D,C
498,0,3,male,32.0,1,U,S
499,0,1,female,25.0,4,C,S
500,0,3,male,24.0,1,U,S
501,0,3,male,17.0,1,U,S
502,0,3,female,21.0,1,U,Q
503,0,3,female,22.0,1,U,Q
504,0,3,female,37.0,1,U,S
505,1,1,female,16.0,1,B,S
506,0,1,male,18.0,2,C,C
507,1,2,female,33.0,3,U,S
508,1,1,male,32.0,1,U,S
509,0,3,male,28.0,1,U,S
510,1,3,male,26.0,1,U,S
511,1,3,male,29.0,1,U,Q
512,0,3,male,32.0,1,U,S
513,1,1,male,36.0,1,E,S
514,1,1,female,54.0,2,U,C
515,0,3,male,24.0,1,U,S
516,0,1,male,47.0,1,D,S
517,1,2,female,34.0,1,F,S
518,0,3,male,32.0,1,U,Q
519,1,2,female,36.0,2,U,S
520,0,3,male,32.0,1,U,S
521,1,1,female,30.0,1,B,S
522,0,3,male,22.0,1,U,S
523,0,3,male,32.0,1,U,C
524,1,1,female,44.0,2,B,C
525,0,3,male,32.0,1,U,C
526,0,3,male,40.0,1,U,Q
527,1,2,female,50.0,1,U,S
528,0,1,male,32.0,1,C,S
529,0,3,male,39.0,1,U,S
530,0,2,male,23.0,4,U,S
531,1,2,female,2.0,3,U,S
532,0,3,male,32.0,1,U,C
533,0,3,male,17.0,3,U,C
534,1,3,female,36.0,3,U,C
535,0,3,female,30.0,1,U,S
536,1,2,female,7.0,3,U,S
537,0,1,male,45.0,1,B,S
538,1,1,female,30.0,1,U,C
539,0,3,male,32.0,1,U,S
540,1,1,female,22.0,3,B,C
541,1,1,female,36.0,3,B,S
542,0,3,female,9.0,7,U,S
543,0,3,female,11.0,7,U,S
544,1,2,male,32.0,2,U,S
545,0,1,male,50.0,2,C,C
546,0,1,male,64.0,1,U,S
547,1,2,female,19.0,2,U,S
548,1,2,male,32.0,1,U,C
549,0,3,male,33.0,3,U,S
550,1,2,male,8.0,3,U,S
551,1,1,male,17.0,3,C,C
552,0,2,male,27.0,1,U,S
553,0,3,male,32.0,1,U,Q
554,1,3,male,22.0,1,U,C
555,1,3,female,22.0,1,U,S
556,0,1,male,62.0,1,U,S
557,1,1,female,48.0,2,A,C
558,0,1,male,32.0,1,U,C
559,1,1,female,39.0,3,E,S
560,1,3,female,36.0,2,U,S
561,0,3,male,32.0,1,U,Q
562,0,3,male,40.0,1,U,S
563,0,2,male,28.0,1,U,S
564,0,3,male,32.0,1,U,S
565,0,3,female,22.0,1,U,S
566,0,3,male,24.0,3,U,S
567,0,3,male,19.0,1,U,S
568,0,3,female,29.0,5,U,S
569,0,3,male,32.0,1,U,C
570,1,3,male,32.0,1,U,S
571,1,2,male,62.0,1,U,S
572,1,1,female,53.0,3,C,S
573,1,1,male,36.0,1,E,S
574,1,3,female,22.0,1,U,Q
575,0,3,male,16.0,1,U,S
576,0,3,male,19.0,1,U,S
577,1,2,female,34.0,1,U,S
578,1,1,female,39.0,2,E,S
579,0,3,female,36.0,2,U,C
580,1,3,male,32.0,1,U,S
581,1,2,female,25.0,3,U,S
582,1,1,female,39.0,3,C,C
583,0,2,male,54.0,1,U,S
584,0,1,male,36.0,1,A,C
585,0,3,male,32.0,1,U,C
586,1,1,female,18.0,3,E,S
587,0,2,male,47.0,1,U,S
588,1,1,male,60.0,3,B,C
589,0,3,male,22.0,1,U,S
590,0,3,male,32.0,1,U,S
591,0,3,male,35.0,1,U,S
592,1,1,female,52.0,2,D,C
593,0,3,male,47.0,1,U,S
594,0,3,female,22.0,3,U,Q
595,0,2,male,37.0,2,U,S
596,0,3,male,36.0,3,U,S
597,1,2,female,22.0,1,U,S
598,0,3,male,49.0,1,U,S
599,0,3,male,32.0,1,U,C
600,1,1,male,49.0,2,A,C
601,1,2,female,24.0,4,U,S
602,0,3,male,32.0,1,U,S
603,0,1,male,32.0,1,U,S
604,0,3,male,44.0,1,U,S
605,1,1,male,35.0,1,U,C
606,0,3,male,36.0,2,U,S
607,0,3,male,30.0,1,U,S
608,1,1,male,27.0,1,U,S
609,1,2,female,22.0,4,U,C
610,1,1,female,40.0,1,C,S
611,0,3,female,39.0,7,U,S
612,0,3,male,32.0,1,U,S
613,1,3,female,22.0,2,U,Q
614,0,3,male,32.0,1,U,Q
615,0,3,male,35.0,1,U,S
616,1,2,female,24.0,4,U,S
617,0,3,male,34.0,3,U,S
618,0,3,female,26.0,2,U,S
619,1,2,female,4.0,4,F,S
620,0,2,male,26.0,1,U,S
621,0,3,male,27.0,2,U,C
622,1,1,male,42.0,2,D,S
623,1,3,male,20.0,3,U,C
624,0,3,male,21.0,1,U,S
625,0,3,male,21.0,1,U,S
626,0,1,male,61.0,1,D,S
627,0,2,male,57.0,1,U,Q
628,1,1,female,21.0,1,D,S
629,0,3,male,26.0,1,U,S
630,0,3,male,32.0,1,U,Q
631,1,1,male,80.0,1,A,S
632,0,3,male,51.0,1,U,S
633,1,1,male,32.0,1,B,C
634,0,1,male,32.0,1,U,S
635,0,3,female,9.0,6,U,S
636,1,2,female,28.0,1,U,S
637,0,3,male,32.0,1,U,S
638,0,2,male,31.0,3,U,S
639,0,3,female,41.0,6,U,S
640,0,3,male,32.0,2,U,S
641,0,3,male,20.0,1,U,S
642,1,1,female,24.0,1,B,C
643,0,3,female,2.0,6,U,S
644,1,3,male,32.0,1,U,S
645,1,3,female,1.0,4,U,C
646,1,1,male,48.0,2,D,C
647,0,3,male,19.0,1,U,S
648,1,1,male,56.0,1,A,C
649,0,3,male,32.0,1,U,S
650,1,3,female,23.0,1,U,S
651,0,3,male,32.0,1,U,S
652,1,2,female,18.0,2,U,S
653,0,3,male,21.0,1,U,S
654,1,3,female,22.0,1,U,Q
655,0,3,female,18.0,1,U,Q
656,0,2,male,24.0,3,U,S
657,0,3,male,32.0,1,U,S
658,0,3,female,32.0,3,U,Q
659,0,2,male,23.0,1,U,S
660,0,1,male,58.0,3,D,C
661,1,1,male,50.0,3,U,S
662,0,3,male,40.0,1,U,C
663,0,1,male,47.0,1,E,S
664,0,3,male,36.0,1,U,S
665,1,3,male,20.0,2,U,S
666,0,2,male,32.0,3,U,S
667,0,2,male,25.0,1,U,S
668,0,3,male,32.0,1,U,S
669,0,3,male,43.0,1,U,S
670,1,1,female,36.0,2,C,S
671,1,2,female,40.0,3,U,S
672,0,1,male,31.0,2,B,S
673,0,2,male,70.0,1,U,S
674,1,2,male,31.0,1,U,S
675,0,2,male,32.0,1,U,S
676,0,3,male,18.0,1,U,S
677,0,3,male,24.0,1,U,S
678,1,3,female,18.0,1,U,S
679,0,3,female,43.0,8,U,S
680,1,1,male,36.0,2,B,C
681,0,3,female,22.0,1,U,Q
682,1,1,male,27.0,1,D,C
683,0,3,male,20.0,1,U,S
684,0,3,male,14.0,8,U,S
685,0,2,male,60.0,3,U,S
686,0,2,male,25.0,4,U,C
687,0,3,male,14.0,6,U,S
688,0,3,male,19.0,1,U,S
689,0,3,male,18.0,1,U,S
690,1,1,female,15.0,2,B,S
691,1,1,male,31.0,2,B,S
692,1,3,female,4.0,2,U,C
693,1,3,male,32.0,1,U,S
694,0,3,male,25.0,1,U,C
695,0,1,male,60.0,1,U,S
696,0,2,male,52.0,1,U,S
697,0,3,male,44.0,1,U,S
698,1,3,female,22.0,1,U,Q
699,0,1,male,49.0,3,C,C
700,0,3,male,42.0,1,F,S
701,1,1,female,18.0,2,C,C
702,1,1,male,35.0,1,E,S
703,0,3,female,18.0,2,U,C
704,0,3,male,25.0,1,U,Q
705,0,3,male,26.0,2,U,S
706,0,2,male,39.0,1,U,S
707,1,2,female,45.0,1,U,S
708,1,1,male,42.0,1,E,S
709,1,1,female,22.0,1,U,S
710,1,3,male,5.0,3,U,C
711,1,1,female,24.0,1,C,C
712,0,1,male,32.0,1,C,S
713,1,1,male,48.0,2,C,S
714,0,3,male,29.0,1,U,S
715,0,2,male,52.0,1,U,S
716,0,3,male,19.0,1,F,S
717,1,1,female,38.0,1,C,C
718,1,2,female,27.0,1,E,S
719,0,3,male,32.0,1,U,Q
720,0,3,male,33.0,1,U,S
721,1,2,female,6.0,2,U,S
722,0,3,male,17.0,2,U,S
723,0,2,male,34.0,1,U,S
724,0,2,male,50.0,1,U,S
725,1,1,male,27.0,2,E,S
726,0,3,male,20.0,1,U,S
727,1,2,female,30.0,4,U,S
728,1,3,female,22.0,1,U,Q
729,0,2,male,25.0,2,U,S
730,0,3,female,25.0,2,U,S
731,1,1,female,29.0,1,B,S
732,0,3,male,11.0,1,U,C
733,0,2,male,32.0,1,U,S
734,0,2,male,23.0,1,U,S
735,0,2,male,23.0,1,U,S
736,0,3,male,28.0,1,U,S
737,0,3,female,48.0,5,U,S
738,1,1,male,35.0,1,B,C
739,0,3,male,32.0,1,U,S
740,0,3,male,32.0,1,U,S
741,1,1,male,32.0,1,D,S
742,0,1,male,36.0,2,C,S
743,1,1,female,21.0,5,B,C
744,0,3,male,24.0,2,U,S
745,1,3,male,31.0,1,U,S
746,0,1,male,70.0,3,B,S
747,0,3,male,16.0,3,U,S
748,1,2,female,30.0,1,U,S
749,0,1,male,19.0,2,D,S
750,0,3,male,31.0,1,U,Q
751,1,2,female,4.0,3,U,S
752,1,3,male,6.0,2,E,S
753,0,3,male,33.0,1,U,S
754,0,3,male,23.0,1,U,S
755,1,2,female,48.0,4,U,S
756,1,2,male,1.0,3,U,S
757,0,3,male,28.0,1,U,S
758,0,2,male,18.0,1,U,S
759,0,3,male,34.0,1,U,S
760,1,1,female,33.0,1,B,S
761,0,3,male,32.0,1,U,S
762,0,3,male,41.0,1,U,S
763,1,3,male,20.0,1,U,C
764,1,1,female,36.0,4,B,S
765,0,3,male,16.0,1,U,S
766,1,1,female,51.0,2,D,S
767,0,1,male,41.0,1,U,C
768,0,3,female,30.0,1,U,Q
769,0,3,male,32.0,2,U,Q
